# tracer: nop
#
# entries-in-buffer/entries-written: 311/211043   #P:9
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 inator.freemium-28057   [008] DNZff 1318392.155239: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155240: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155241: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155242: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155242: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155243: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155244: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155245: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155246: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155247: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155248: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155249: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155249: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155250: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155251: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155252: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155253: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155254: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155254: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155255: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155256: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155257: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155258: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155258: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155259: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155260: pairip_crash_pc: (0x7b66f8775c)
